,id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
26,10452,Large B&B Style rooms,35935,Brooklyn,Bedford Stuyvesant,40.6831,-73.95473,Private room,70,1,74,0.66,269
27,10962,"Lovely room 2 & garden; Best area, Legal rental",9744,Brooklyn,Greenwood,40.66869,-73.9878,Private room,89,4,168,1.41,340
28,11708,Cute apt in artist's home,44145,Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85,2,231,1.96,22
29,12048,LowerEastSide apt share shortterm 1,7549,Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40,1,214,1.81,188
30,12192,ENJOY Downtown NYC!,46978,Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,2.08,96
31,12299,Beautiful Sunny Park Slope Brooklyn,47610,Brooklyn,Greenwood,40.66278,-73.97966,Entire home/apt,120,3,15,0.39,345
32,12303,1bdr w private bath. in lofty apt,47618,Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,0.23,311
33,12318,West Side Retreat,16800,Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,0.69,273
34,12343,BEST BET IN HARLEM,47727,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,0.84,309
35,12627,Entire apartment in central Brooklyn neighborhood.,49670,Brooklyn,Prospect Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150,29,11,0.49,95
36,12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Queens,Hunters Point,40.74771,-73.9474,Private room,130,3,248,2.25,215
37,12940,Charming Brownstone 3 - Near PRATT,50148,Brooklyn,Bedford Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,0.52,265
38,13394,Fort Greene brownstone ,52335,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,1.16,192
39,13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,Brooklyn,Bedford Stuyvesant,40.68043,-73.93934,Private room,80,1,112,1.01,251
40,14287,Cozy 1BD on Central Park West in New York City,56094,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,0.63,302
41,14290,* ORIGINAL BROOKLYN LOFT *,56104,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,0.7,140
42,14314,Greenpoint Place...Has It All! ,56246,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,2.82,234
43,14322,Beautiful Apartment in Manhattan!!!,56284,Manhattan,Gramercy,40.73961,-73.98074,Entire home/apt,200,7,19,0.22,257
44,14377,Williamsburg 1 bedroom Apartment,56512,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,0.9,30
45,14991,"Great Location, Manhattan Bedroom!",59023,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,0.17,301
46,15220,Best Location in NYC! TIMES SQUARE!,59734,Manhattan,Clinton,40.75531,-73.99293,Private room,69,2,289,2.49,294
47,15338,Room in Greenpoint Loft w/ Roof,32169,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,1.19,320
48,15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,60049,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,0.3,154
49,15385,"Very, very cozy place",60252,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,0.38,263
50,15396,Sunny & Spacious Chelsea Apartment,60278,Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,375,180,5,0.12,180
51,15711,2 bedroom - Upper East Side-great for kids,61491,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,0.57,231
52,16326,Comfortable 4-bedroom apt in family house.,63588,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,1.33,297
53,16338,Double Room w Private Deck Clinton Hill Best Area,63613,Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,0.23,292
54,16421,Your Heaven in Hells Kitchen,63924,Manhattan,Clinton,40.75979,-73.99119,Private room,52,30,191,1.65,191
55,16580,"Sunny, Modern room in East Village!",64442,Manhattan,East Village,40.72649,-73.97904,Private room,80,1,338,4.72,72
56,16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,64522,Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,1.4,362
57,16821,Large Room in Amazing East Village Apt,4396,Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,1.26,336
58,16974,SpaHa Loft: Enormous and Bright,65837,Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,190,1.64,215
59,17037,Lovely EV Artist's Home,66035,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,0.43,116
60,17092,Cool Room in Hell's Kitchen,66243,Manhattan,Clinton,40.76342,-73.98865,Private room,51,7,23,0.43,88
61,17693,"HARLEM, NEW YORK WELCOMES YOU!!",68428,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,1.6,336
62,17747,BLUE TRIM GUEST HOUSE,68599,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,0.92,304
63,18127,Charming East Village One Bedroom Flat,69829,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,0.2,224
64,18152,Manhattan Room,69942,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,1.5,322
65,18198,Little King of Queens,70091,Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,0.22,324
66,18590,Fort Greene Retreat on the Park,71512,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,1.28,132
67,18728,Beautiful Meatpacking District Loft,71876,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,1.65,295
68,18764,Cozy 2 BR in Williamsburg ,72014,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,0.54,238
69,19159,Spacious luminous apt Upper West NYC,73051,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,0.49,209
70,19169,Entire 2 Bedroom - Large & Sunny,73128,Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,0.62,328
71,19282,"Sunny, Spacious Top Floor Haven",73469,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,0.15,38
72,19319,Private room Great Deal at Lower East Side,44263,Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,30,94,0.84,188
73,19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,0.53,272
74,20299,Oh glorious spring!,62407,Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,1.73,26
75,20611,Cozy Bedroom in Williamsburg 3 BR,72014,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,1.54,288
76,20724,Sunny room+Pvte office in huge loft,961342,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,0.28,317
77,20734,Spacious Prospect Heights Apartment,78460,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,3.4,207
78,20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,0.2,185
79,20853,2-bed brownstone duplex + garden,79070,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,0.3,158
80,21293,Sunny Apartment in Artist Home,44145,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,1.05,9
81,21456,Light-filled classic Central Park ,42032,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,0.71,198
82,21644,"Upper Manhattan, New York",82685,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,0.11,365
83,21794,COZY QUIET room 4 DOOGLERS!,83257,Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,0.27,364
84,22911,The Stuydio Modern and Light Filled,87773,Brooklyn,Bedford Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,1.23,311
85,22918,loft bed - near transportation-15min to times sq,32294,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,0.87,219
86,23135,House On Henry (3rd FLR Suite),11481,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,2.09,342
87,23501,Monkey Retreat Manhattan,63318,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,0.6,312
88,23686,2000 SF 3br 2bath West Village private  townhouse,93790,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,0.55,243
89,24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,3.02,152
90,24285,Beautiful Duplex Apartment,97797,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,0.79,9
91,25235,Large 2 Bedroom Great for Groups!,87773,Brooklyn,Bedford Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,1.46,137
92,25406,"Modern Brooklyn Apt., August sublet",105538,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,0.4,222
93,25696,"1,800 sq foot in luxury building",107628,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,1.61,346
94,26012,Sunny 2-story Brooklyn townhouse w deck and garden,109589,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,0.2,208
95,26362,"Times Square, Safe, Clean and Cozy!",59734,Manhattan,Clinton,40.75527,-73.99291,Private room,59,2,334,3.0,279
96,26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,0.2,250
97,26559,Beautiful Apartment East Village,112793,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,0.13,164
98,26785,Park Slope Green Guest House,42273,Brooklyn,Greenwood,40.66853,-73.98912,Entire home/apt,120,30,467,4.22,192
99,26933,2 BR / 2 Bath Duplex Apt with patio! East Village,72062,Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,0.06,298
100,26954,NYC fabulous views Manhattan's eye,115157,Manhattan,Gramercy,40.74294,-73.98009,Entire home/apt,199,5,38,0.38,260
101,26969,2 story family home in Williamsburg,115307,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,3.01,107
102,27006,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,0.27,199
103,27385,Great Large 1 BR apt  in East Village!,72062,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,1.05,299
104,27531,Eveland Private Bed & Living Room w/ Own Entrance,118971,Brooklyn,Greenwood,40.66831,-73.98604,Private room,99,2,354,3.2,20
105,27644,Sugar Hill Rest Stop ,119510,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,2.03,318
106,27659,3 Story Town House in Park Slope,119588,Brooklyn,Greenwood,40.66499,-73.97925,Entire home/apt,400,2,16,0.24,216
107,27759,apartment next to Central park,119900,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,0.12,224
108,28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,65091,Brooklyn,Prospect Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,0.08,324
109,28396,Modern Apt with Spectacular Views,6197784,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,0.08,245
110,28907,Garden studio in the Upper East Sid,124352,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,0.19,189
111,29012,Secluded Master Bedroom in Beautiful Huge Apt,124797,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,0.33,307
112,29013,B & B Room 1,35935,Brooklyn,Bedford Stuyvesant,40.68332,-73.9547,Private room,70,3,63,0.58,310
113,29455,ACCOMMODATIONS GALORE #1,126607,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,1.42,213
114,29628,Sunny Room in New Condo,127608,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,2.35,278
115,29683,Stylish & Sleek Apartment Near SoHo!,125857,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,0.66,209
116,30927,Unique & Charming small 1br Apt. LES,120335,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,0.29,16
117,31130,Most Central Location!,117287,Manhattan,Clinton,40.76754,-73.98399,Private room,130,2,50,0.45,234
118,31555,Luminous Beautiful West Village Studio,135619,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,0.25,12
119,31902,Sanctuary in East Flatbush,137292,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,0.02,178
120,31994,Room with En Suite Bathroom & Deck,137814,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,3.89,275
121,32023,FLAT MACDONOUGH,137974,Brooklyn,Bedford Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,2.09,163
122,32037,Huge Private  Floor at The Waverly,116599,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,0.77,365
123,32100,"Modern Greenpoint, Brooklyn Apt",138579,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,0.03,34
124,32289,"Sun-drenched, artsy modernist 1 BDRM duplex",139612,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,0.1,280
125,32363,Fully Furnished Basement Apartment,140025,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,0.01,1
126,32965,FLAT MACDONOUGH GARDEN,137974,Brooklyn,Bedford Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,1.72,170
127,32969,Light filled Williamsburg Apartment,142833,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,0.11,188
128,33009,Retreat in Williamsburg,143027,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,2.19,214
129,33014,NYC Zen,143048,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,0.28,248
130,33223,Cozy BR in Wiliamsburg 3 Bedroom,72014,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,1.86,262
131,34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,1.05,280
132,35526,Sun Filled Classic West Village Apt,120291,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,0.74,307
133,36121,Lg Rm in Historic Prospect Heights,62165,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,0.09,339
134,36133,Classic Artist Loft Williamsburg,142684,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,1.61,1
135,36442,Great location. Spacious on PROSPECT PARK,137432,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,0.05,269
136,36647,Private Bdrm/Bathrm. New! Elevator!,157798,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,0.32,10
137,36703,"Sunny, clean 1 bdrm in W. Village",158284,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,1.24,312
138,36934,Great location in Williamsburg,159370,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,0.25,189
139,38638,Light and Airy Upper East Side 1 BDR apartment,92788,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,1.16,290
140,38663,Luxury Brownstone in Boerum Hill,165789,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,0.27,230
141,39267,CENTRAL PARK LOFT all for YOU,168417,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,2.6,164
142,39282,Indie-Chic Share In Williamsburg,168525,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,1.86,53
143,39593,"A room w/ a Manhattan view, longer stay",110506,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,0.26,126
144,39704,"Private, Large & Sunny 1BR w/W&D",170510,Brooklyn,Bedford Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,2.86,3
145,40039,Luxurious Condo in DUBMO with View,171851,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,0.13,189
146,40453,Charming & Cozy midtown loft any WEEK ENDS  !!!,174025,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,0.08,365
147,42580,Parlor Room In Victorian Townhouse,137814,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,3.47,336
148,42729,House On Henry (2nd FLR Suite),11481,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,1.4,342
149,42882,New York room with a view,185978,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,1.66,312
150,43957,Sunny cozy room in Brklyn townhouse,177536,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,0.94,37
151,44096,Room with a View,190409,Bronx,High Bridge,40.83232,-73.93184,Private room,40,1,219,2.04,353
152,44161,Light+Open+Airy+Rustic+Modern Loft,193360,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,1.78,177
153,44212,West Inn 2 - East Village,72062,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,0.78,310
154,44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,2.0,321
155,44288,Your own Lovely West Village Studio,193637,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,0.8,246
156,44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,126607,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,0.75,231
157,45393,Greenwich Village Stylish Apartment,201297,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,0.36,225
158,45910,Beautiful Queens Brownstone! - 5BR,204539,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,0.11,365
159,45936,Couldn't Be Closer To Columbia Uni,867225,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,1.18,233
160,45940,Bright Spacious Luxury Condo,204724,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,0.58,1
161,46544,Park Slope haven 15 mins from Soho,8198,Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,0.5,18
162,46723,SAFE  AND BEAUTIFUL ACCOMODATION,209460,Brooklyn,Bedford Stuyvesant,40.67992,-73.9475,Private room,90,3,126,1.17,343
163,46911,Large Room in private Brownstone in Park Slope,210746,Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,0.48,250
164,47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",212722,Manhattan,Upper East Side,40.76834,-73.95334,Private room,75,3,199,1.85,326
165,47362,"LARGE, COMFY 1BDR W/CHARACTER!!!",214148,Brooklyn,Bedford Stuyvesant,40.68237,-73.9415,Entire home/apt,175,26,30,0.29,364
166,47926,LUX APT IN TIMES SQUARE NEW BUILDING,218404,Manhattan,Clinton,40.76307,-73.99665,Entire home/apt,275,1,41,0.38,299
167,48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,221873,Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,2,109,1.04,207
168,50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,9744,Brooklyn,Greenwood,40.6693,-73.98804,Entire home/apt,135,5,151,1.43,162
169,51485,Lower East Side $57~/night,236655,Manhattan,Lower East Side,40.72319,-73.99201,Private room,83,1,285,2.69,7
170,51572,Prime Location in Manhattan,237329,Manhattan,Chelsea,40.74859,-73.99671,Private room,123,1,375,3.52,328
171,51850,( F) Excellent/Pvt Rm,27848,Queens,Jamaica,40.67252,-73.76597,Private room,55,2,52,0.49,365
172,53469,cozy studio with parking spot,204539,Queens,Middle Village,40.71722,-73.87856,Entire home/apt,98,30,33,0.31,240
173,53470,Clean and convenient 2BR apartment,204539,Queens,Ridgewood,40.70234,-73.89816,Private room,140,7,6,0.06,365
174,53477,3 floors of luxury!,204539,Queens,Middle Village,40.71546,-73.87854,Entire home/apt,265,7,38,0.38,365
175,54158,The Institute—Heart of Williamsburg,10889,Brooklyn,Williamsburg,40.7195,-73.95976,Entire home/apt,249,2,358,3.44,164
176,54453,MIDTOWN WEST - Large alcove studio,255583,Manhattan,Clinton,40.76548,-73.98474,Shared room,105,6,10,0.09,363
177,54508,Sml Rm in pr Brst  Park Sl great for Med/students,210746,Brooklyn,Prospect Heights,40.6787,-73.97262,Private room,100,2,226,2.12,250
178,54544,City Room - Private Penthouse Apt.,256161,Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,121,1,104,1.0,247
179,54626,Cozy bedroom by Yankee Stadium,190409,Bronx,High Bridge,40.83075,-73.93058,Private room,45,1,138,1.45,323
180,54860,Great apartment with private bathroom and entrance,258164,Manhattan,East Harlem,40.79958,-73.94275,Private room,100,5,204,1.92,192
181,55467,Private Garden Apt • New Renovation,260709,Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,140,2,253,3.04,125
182,55498,Modern comfort in art infused landmark Brownstone,262138,Brooklyn,Bedford Stuyvesant,40.6829,-73.93549,Private room,71,2,23,0.22,91
183,55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",88209,Manhattan,NoHo,40.72773,-73.99134,Private room,130,2,115,1.17,75
184,55737,Sleek & Comfortable Soho Apt,263414,Manhattan,West Village,40.72861,-74.0049,Entire home/apt,199,5,129,1.22,286
185,55959,Spacious Williamsburg Share w/ LOFT BED,168525,Brooklyn,Williamsburg,40.70979,-73.95162,Private room,69,4,82,1.13,60
186,56467,Cozy East Village Railroad 1 Bed!,267593,Manhattan,East Village,40.72752,-73.98432,Entire home/apt,130,1,204,2.04,192
187,56525,1 Bedroom Loft w/ Private Roof Deck,268014,Brooklyn,Greenpoint,40.729,-73.95829,Entire home/apt,195,2,69,0.65,58
188,56859,City Room - Private & Comfy Bedroom,256161,Manhattan,Harlem,40.81219,-73.94499,Private room,64,1,192,1.84,245
189,57166,Elegant NYC Pad,272006,Queens,Astoria,40.77185,-73.90502,Entire home/apt,140,2,17,0.16,292
190,57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",199392,Brooklyn,Cobble Hill,40.68926,-73.99386,Entire home/apt,159,2,222,2.12,279
191,57618,"Great new apt, close to everything",274557,Manhattan,Clinton,40.7672,-73.98508,Entire home/apt,250,3,94,0.96,3
192,57740,Quiet & Clean Retreat in the City,275459,Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,3,7,0.07,351
193,57754,Stylish Large Gramercy Loft!,275578,Manhattan,Flatiron District,40.7403,-73.98498,Entire home/apt,305,2,108,1.09,201
194,57874,The Brownstone-Luxury 1 Bd Apt/NYC,276291,Manhattan,Harlem,40.80931,-73.94343,Entire home/apt,155,3,222,2.1,232
195,58059,PRIVATE Room on Historic Sugar Hill,277379,Manhattan,Harlem,40.8251,-73.94287,Private room,60,1,458,4.58,258
196,58062,South Slope Green,277394,Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,135,2,21,0.26,272
197,58467,"17 Flr. Manhattan Views, Nr. Subway",279797,Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,120,7,17,0.3,341
198,59014,"Spacious 1BR, Adorable Clean Quiet",282927,Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,150,3,41,0.39,244
199,59121,"Nice, clean, safe, convenient 3BR",204539,Queens,Ridgewood,40.70411,-73.89934,Entire home/apt,140,14,1,0.01,365
200,59642,Franklin St Flat in Trendy Greenpoint Brooklyn,274782,Brooklyn,Greenpoint,40.73401,-73.95967,Entire home/apt,135,2,69,0.67,12
201,59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",186084,Manhattan,Chinatown,40.71756,-73.99503,Entire home/apt,250,4,18,0.18,265
202,60164,"Beautiful, elegant 3 bed SOHO loft",289653,Manhattan,SoHo,40.72003,-74.00262,Entire home/apt,500,4,94,0.99,329
